fold_id,batch_size,lr,max_epochs,module__dropout,optimizer,avg_test_accuracy,avg_test_recall
13,16,0.01,15,0.2,sgd,0.9586,0.966
0,16,0.001,5,0.0,adam,0.934,0.9606
4,16,0.001,15,0.0,adam,0.9482,0.9522
12,16,0.01,15,0.0,sgd,0.9442,0.9488
6,16,0.001,15,0.2,adam,0.939,0.9484
2,16,0.001,5,0.2,adam,0.9328,0.9416
21,32,0.01,15,0.2,sgd,0.9232,0.9308
19,32,0.01,15,0.0,sgd,0.91,0.9156
15,32,0.01,5,0.0,sgd,0.8746,0.9088
17,32,0.01,5,0.2,sgd,0.8638,0.908
24,32,0.001,15,0.0,sgd,0.8476,0.9074
25,32,0.001,15,0.2,sgd,0.8306,0.8862
23,32,0.001,5,0.2,sgd,0.6612,0.8752
9,16,0.01,5,0.0,sgd,0.8818,0.865
1,16,0.001,5,0.0,sgd,0.8106,0.8602
7,16,0.001,15,0.2,sgd,0.8722,0.8504
3,16,0.001,5,0.2,sgd,0.774,0.8404
22,32,0.001,5,0.0,sgd,0.7272,0.825
5,16,0.001,15,0.0,sgd,0.8682,0.815
11,16,0.01,5,0.2,sgd,0.8412,0.7764
18,32,0.01,15,0.0,adam,0.5732,0.3858
8,16,0.01,5,0.0,adam,0.5012,0.2
10,16,0.01,5,0.2,adam,0.5012,0.2
16,32,0.01,5,0.2,adam,0.5012,0.2
20,32,0.01,15,0.2,adam,0.5012,0.2
14,32,0.01,5,0.0,adam,0.502,0.1998
