index,batch_size,lr,max_epochs,module__dropout,optimizer,test_accuracy,test_f1,test_precision,test_recall,time_min,fold_id
0,16,0.001,5,0.0,adam,0.919,0.923,0.875,0.977,23.1,0
1,16,0.001,5,0.0,adam,0.943,0.944,0.935,0.952,40.5,0
2,16,0.001,5,0.0,adam,0.922,0.927,0.874,0.986,70.6,0
3,16,0.001,5,0.0,adam,0.943,0.942,0.951,0.934,47.3,0
4,16,0.001,5,0.0,adam,0.943,0.943,0.933,0.954,36.9,0
5,16,0.001,5,0.0,sgd,0.834,0.835,0.827,0.844,36.6,1
6,16,0.001,5,0.0,sgd,0.792,0.803,0.762,0.849,26.1,1
7,16,0.001,5,0.0,sgd,0.819,0.828,0.786,0.875,52.0,1
8,16,0.001,5,0.0,sgd,0.791,0.801,0.762,0.845,45.5,1
9,16,0.001,5,0.0,sgd,0.817,0.829,0.776,0.888,22.4,1
10,16,0.001,5,0.2,adam,0.957,0.957,0.972,0.941,26.9,2
11,16,0.001,5,0.2,adam,0.92,0.916,0.968,0.869,67.6,2
12,16,0.001,5,0.2,adam,0.921,0.926,0.87,0.99,25.2,2
13,16,0.001,5,0.2,adam,0.933,0.933,0.932,0.934,14.8,2
14,16,0.001,5,0.2,adam,0.933,0.935,0.9,0.974,26.2,2
15,16,0.001,5,0.2,sgd,0.788,0.79,0.779,0.801,22.0,3
16,16,0.001,5,0.2,sgd,0.832,0.837,0.808,0.869,9.5,3
17,16,0.001,5,0.2,sgd,0.739,0.753,0.713,0.798,10.8,3
18,16,0.001,5,0.2,sgd,0.798,0.806,0.773,0.842,15.7,3
19,16,0.001,5,0.2,sgd,0.713,0.756,0.656,0.892,36.8,3
20,16,0.001,15,0.0,adam,0.959,0.958,0.965,0.952,140.7,4
21,16,0.001,15,0.0,adam,0.944,0.943,0.956,0.931,92.3,4
22,16,0.001,15,0.0,adam,0.942,0.944,0.915,0.975,102.2,4
23,16,0.001,15,0.0,adam,0.95,0.949,0.952,0.947,33.1,4
24,16,0.001,15,0.0,adam,0.946,0.946,0.936,0.956,33.1,4
25,16,0.001,15,0.0,sgd,0.854,0.836,0.952,0.745,23.0,5
26,16,0.001,15,0.0,sgd,0.877,0.87,0.923,0.823,23.3,5
27,16,0.001,15,0.0,sgd,0.878,0.868,0.936,0.81,22.7,5
28,16,0.001,15,0.0,sgd,0.854,0.839,0.932,0.763,20.3,5
29,16,0.001,15,0.0,sgd,0.878,0.884,0.839,0.934,19.0,5
30,16,0.001,15,0.2,adam,0.941,0.941,0.932,0.95,28.2,6
31,16,0.001,15,0.2,adam,0.935,0.935,0.932,0.937,85.5,6
32,16,0.001,15,0.2,adam,0.954,0.954,0.949,0.96,33.6,6
33,16,0.001,15,0.2,adam,0.947,0.948,0.935,0.961,125.3,6
34,16,0.001,15,0.2,adam,0.918,0.919,0.905,0.934,51.5,6
35,16,0.001,15,0.2,sgd,0.866,0.86,0.899,0.824,33.1,7
36,16,0.001,15,0.2,sgd,0.88,0.881,0.87,0.891,23.1,7
37,16,0.001,15,0.2,sgd,0.889,0.885,0.912,0.86,22.9,7
38,16,0.001,15,0.2,sgd,0.853,0.84,0.917,0.775,76.7,7
39,16,0.001,15,0.2,sgd,0.873,0.876,0.851,0.902,55.6,7
40,16,0.01,5,0.0,adam,0.502,0.0,0.0,0.0,155.8,8
41,16,0.01,5,0.0,adam,0.502,0.0,0.0,0.0,71.4,8
42,16,0.01,5,0.0,adam,0.502,0.0,0.0,0.0,33.1,8
43,16,0.01,5,0.0,adam,0.502,0.0,0.0,0.0,30.7,8
44,16,0.01,5,0.0,adam,0.498,0.665,0.498,1.0,11.8,8
45,16,0.01,5,0.0,sgd,0.88,0.872,0.932,0.82,23.9,9
46,16,0.01,5,0.0,sgd,0.887,0.888,0.876,0.901,6.9,9
47,16,0.01,5,0.0,sgd,0.895,0.892,0.916,0.869,7.2,9
48,16,0.01,5,0.0,sgd,0.872,0.867,0.9,0.836,7.9,9
49,16,0.01,5,0.0,sgd,0.875,0.877,0.857,0.899,8.1,9
50,16,0.01,5,0.2,adam,0.502,0.0,0.0,0.0,13.6,10
51,16,0.01,5,0.2,adam,0.502,0.0,0.0,0.0,57.8,10
